cluster,text,frequency
39,without,17
39,crew,16
39,landing,16
39,carrier,10
39,clearance,6
39,due,6
39,lack,5
39,flying,5
39,captain,4
39,fatigue,4
39,approach,3
39,landed,3
39,clearance.,3
39,incorrect,3
39,deviation,3
39,altitude,3
39,recent,3
39,covid-19,3
39,contributing,3
39,clearance.air,3
40,call,30
40,similar,29
40,sounding,21
40,controller,16
40,signs,15
40,company,11
40,carrier,11
40,sign,10
40,digit,10
40,concern,10
40,regarding,10
40,confused,9
40,four,9
40,described,8
40,voiced,8
40,air,8
40,time,7
40,captain,6
40,unsafe,6
40,event,5
41,bird,79
41,crew,63
41,strike,48
41,engine,42
41,takeoff,37
41,departure,31
41,damage,23
41,captain,20
41,returned,19
41,right,18
41,airport,14
41,return,13
41,resulted,13
41,struck,12
41,left,12
41,carrier,11
41,maintenance,11
41,multiple,11
41,strikes,11
41,landing,10
42,database,13
42,carrier,10
42,captain,10
42,crew,6
42,first,6
42,charts,6
42,new,5
42,navigation,5
42,officer,5
42,maintenance,3
42,pilot,3
42,discrepancy,2
42,fmc,2
42,may,2
42,reports,2
42,date,2
42,engine,2
42,fms,2
42,jeppesen,2
42,installed,2
43,autopilot,21
43,thrust,12
43,pilot,9
43,captain,9
43,crew,8
43,auto,8
43,control,6
43,approach,6
43,airspeed,5
43,trim,5
43,failure,5
43,speed,4
43,flying,4
43,pitch,3
43,engaged,3
43,atc,3
43,experienced,3
43,resulted,3
43,carrier,3
43,experiences,2
44,runway,95
44,lights,64
44,pilot,33
44,captain,32
44,lighting,27
44,night,22
44,carrier,21
44,crew,20
44,airport,19
44,landing,17
44,approach,16
44,bright,16
44,takeoff,12
44,light,12
44,tower,11
44,first,10
44,reports,10
44,visual,10
44,red,9
44,without,8
45,crew,13
45,autothrottles,12
45,autopilot,12
45,autothrottle,10
45,speed,9
45,captain,8
45,system,6
45,pilot,5
45,autothrust,4
45,mach,3
45,disengaged,3
45,causing,3
45,thrust,3
45,turn,3
45,reports,3
45,low,3
45,pitch,3
45,failed,3
45,malfunction,3
45,b777,2
46,tire,29
46,crew,25
46,gear,21
46,main,19
46,takeoff,19
46,failure,14
46,landing,13
46,tires,10
46,blown,9
46,two,8
46,left,7
46,right,6
46,failed,6
46,takeoff.,6
46,vibration,6
46,pilot,6
46,captain,6
46,rejected,5
46,reports,5
46,due,5
47,pilot,552
47,landing,459
47,runway,334
47,control,264
47,instructor,189
47,gear,168
47,student,159
47,loss,132
47,resulting,123
47,excursion,101
47,damage,95
47,resulted,86
47,nose,83
47,directional,81
47,right,77
47,brake,72
47,ground,67
47,left,64
47,lost,62
47,due,59
48,gear,427
48,landing,212
48,nose,105
48,crew,90
48,captain,60
48,failed,54
48,retract,49
48,pilot,48
48,main,45
48,emergency,40
48,extend,36
48,departure,36
48,landed,35
48,failure,32
48,indication,32
48,extension,32
48,light,32
48,reports,31
48,airport,26
48,qrh,25
49,attendant,73
49,mask,60
49,face,49
49,passenger,48
49,wearing,44
49,covid-19,33
49,wear,28
49,masks,25
49,carrier,22
49,passengers,19
49,captain,17
49,flight.flight,13
49,use,11
49,protective,10
49,pilot,10
49,refused,10
49,attendants,10
49,comply,9
49,concerns,8
49,two,8
50,attendant,9
50,cleaning,8
50,carrier,7
50,crew,6
50,supplies,6
50,captain,5
50,covid-19,5
50,clean,3
50,pilot,3
50,company,3
50,cleaners,3
50,personal,3
50,equipment,3
50,sanitizing,3
50,provided,3
50,inadequate,2
50,agent,2
50,galley,2
50,ground,2
50,sink,2
51,slide,31
51,door,18
51,maintenance,14
51,overwing,7
51,escape,7
51,line,6
51,reports,6
51,inspector,5
51,mechanic,5
51,replaced,5
51,installed,5
51,technician,5
51,mechanics,4
51,report,4
51,emergency,4
51,pack,4
51,aft,4
51,deployed,4
51,right,4
51,forward,4
52,passenger,44
52,captain,35
52,medical,27
52,attendant,25
52,ill,20
52,crew,19
52,carrier,19
52,first,15
52,officer,15
52,emergency,12
