x,y,z,cluster,body,severity
0.75334066,0.34575835,0.42534372,0.0,,0.0
0.48480216,0.36943054,0.864936,0.0,,0.0
0.8188027,0.77644515,0.62877923,0.0,,0.0
0.59056264,0.21745276,0.51270205,0.0,,0.0
0.5616225,0.15281056,0.4730759,0.0,,0.0
0.6367578,0.38173935,0.038484655,0.0,,0.0
0.54298455,0.17357068,0.6266425,0.0,,0.0
0.7810983,0.07509357,0.2343408,0.0,,0.0
0.55031276,0.15083209,0.61671084,0.0,,0.0
0.65729505,0.692531,0.21098126,0.0,,0.0
0.4302703,0.3464921,0.5422073,0.0,,0.0
0.69181716,0.36095488,0.33526778,0.0,,0.0
0.8725475,0.45968267,0.7927691,0.0,,0.0
0.8096012,0.3171001,0.4390496,0.0,,0.0
0.62957424,0.74580246,0.24787694,0.0,,0.0
0.5867498,0.20668404,0.5154026,0.0,,0.0
0.8288994,0.30270642,0.36875436,0.0,,0.0
0.79824454,0.32140344,0.45820183,0.0,,0.0
0.7873226,0.7861504,0.62008625,0.0,,0.0
0.8268463,0.06286915,0.23714216,0.0,,0.0
0.6227704,0.71245235,0.20987983,0.0,,0.0
0.5855648,0.3495257,0.05054795,0.0,,0.0
0.61560273,0.753979,0.19942452,0.0,,0.0
0.6417145,0.46436545,0.6449453,0.0,,0.0
0.63267875,0.7135996,0.19620606,0.0,,0.0
0.54372686,0.15847152,0.61526877,0.0,,0.0
0.5813482,0.19467534,0.50453186,0.0,,0.0
0.07436281,0.43106508,0.33641893,0.0,,0.0
0.09722309,0.435837,0.3863417,0.0,,0.0
0.72372925,0.3553585,0.3772903,0.0,,0.0
0.8560683,0.44279882,0.7763763,0.0,,0.0
0.6155519,0.70283437,0.2088122,0.0,,0.0
0.57100695,0.16162068,0.48305643,0.0,,0.0
0.58231074,0.19905497,0.49710196,0.0,,0.0
0.57180935,0.14774476,0.4700742,0.0,,0.0
0.6572953,0.41577962,0.01920479,0.0,,0.0
0.60739356,0.72122175,0.2104016,0.0,,0.0
0.8080989,0.31805918,0.4064752,0.0,,0.0
0.38938975,0.5455689,0.8527919,0.0,,0.0
0.6233947,0.70014405,0.20753269,0.0,,0.0
0.42837784,0.34309885,0.5455543,0.0,,0.0
0.48506108,0.3684513,0.86342376,0.0,,0.0
0.63614184,0.73245555,0.1886333,0.0,,0.0
0.40357694,0.56332576,0.83764464,0.0,,0.0
0.6738568,0.4198174,0.012938458,0.0,,0.0
0.61024874,0.7194684,0.22122724,0.0,,0.0
0.5810413,0.3568758,0.06285381,0.0,,0.0
0.8732436,0.46037602,0.7934612,0.0,,0.0
0.627465,0.74450755,0.20334454,0.0,,0.0
0.55880886,0.17420432,0.5577481,0.0,,0.0
0.623044,0.7160466,0.20775795,0.0,,0.0
0.60502285,0.7490875,0.22591266,0.0,,0.0
0.47233245,0.6814507,0.56071883,6.0,,81.25
